1       |0      |-4100  |14084  |-8136  |-2.4541        |8.4300 |-4.8698        |-166   |103    |23     |-2.5344        |1.5725 |0.3511 |24.39
2       |1008   |-4212  |14192  |-8056  |-2.5211        |8.4946 |-4.8219        |-187   |109    |26     |-2.8550        |1.6641 |0.3969 |24.29
3       |2017   |-4224  |14196  |-8084  |-2.5283        |8.4970 |-4.8387        |-199   |109    |24     |-3.0382        |1.6641 |0.3664 |24.39
4       |3026   |-4156  |14136  |-8252  |-2.4876        |8.4611 |-4.9392        |-192   |100    |13     |-2.9313        |1.5267 |0.1985 |24.39
5       |4035   |-4152  |14148  |-8300  |-2.4852        |8.4683 |-4.9680        |-191   |112    |36     |-2.9160        |1.7099 |0.5496 |24.39
6       |5044   |-4100  |14000  |-7800  |-2.4541        |8.3797 |-4.6687        |-105   |110    |-14    |-1.6031        |1.6794 |-0.2137        |24.29
7       |6053   |-4128  |14180  |-8124  |-2.4708        |8.4874 |-4.8626        |-199   |104    |33     |-3.0382        |1.5878 |0.5038 |24.39
8       |7062   |-4076  |14164  |-8076  |-2.4397        |8.4779 |-4.8339        |-197   |106    |17     |-3.076 |1.6183 |0.2595 |24.39
9       |8071   |-4192  |14192  |-8332  |-2.5091        |8.4946 |-4.9871        |-194   |101    |24     |-2.9618        |1.5420 |0.3664 |24.39
10      |9080   |-4040  |14204  |-7996  |-2.4181        |8.5018 |-4.7860        |-189   |112    |41     |-2.8855        |1.7099 |0.6260 |24.39
11      |10089  |-4080  |14116  |-8268  |-2.4421        |8.4491 |-4.9488        |-185   |102    |27     |-2.8244        |1.5573 |0.4122 |24.39
12      |11098  |-4116  |14136  |-8172  |-2.4636        |8.4611 |-4.8914        |-194   |109    |31     |-2.9618        |1.6641 |0.4733 |24.39
13      |12107  |-3984  |14116  |-8180  |-2.3846        |8.4491 |-4.8961        |-193   |116    |29     |-2.9466        |1.7710 |0.4427 |24.29
14      |13116  |-4156  |14080  |-7960  |-2.4876        |8.4276 |-4.7645        |-192   |118    |21     |-2.9313        |1.8015 |0.3206 |24.29
